,이용횟수,도로명,위도,경도
0,1,난우길 27,37.4736852751404,126.920242955541
1,1,법원단지길 147,37.4760947172181,126.924762237407
2,2,난곡로 176,37.4707137345351,126.920073797869
3,2,난곡로 645-1,37.4698579625568,126.923389008221
4,3,난향길 37,37.4630186474206,126.917166684376
5,3,난향7길 68,37.4596865415597,126.915078197869
6,4,남부순환도로 2076,37.4762760257988,126.979561611363
7,4,남부순환로 262길 11,37.4757984412565,126.975082026705
8,5,신림로 127,37.4709315663258,126.935235069034
9,5,호암로20길 43,37.4676038044663,126.934487742047
10,6,난곡로 64길 9,37.4815678571769,126.915249026705
11,6,남부순환로 172길 78,37.4827671498483,126.923488419956
12,7,신림로 22길 14 ,37.4720650328466,126.935626905525
13,7,신림로 186,37.4740815018163,126.93593436853
14,8,봉천로 307 ,37.4868464717003,126.935008955541
15,8,봉천로21나길 35,37.4890308792532,126.936163769035
16,9,신림로58길 21,37.4826501684652,126.931055084376
17,9,신림로58길 68,37.4825499962407,126.933718426705
18,10,남부순환로 1660,37.4847364040302,126.935034126705
19,10,남부순환로194길 72,37.4820112529813,126.934146026705
20,11,은천로 177 ,37.4861519066668,126.954928155541
21,11,온천로 39길 39,37.4878633559889,126.955332742047
22,11,은천로 39길 94,37.4891375008821,126.953137826706
23,12,신림동7길 50,37.4849218360375,126.926687284376
24,12,봉천로 214,37.4897675255444,126.925313042047
25,13,은천로 61,37.4865821856718,126.942203811364
26,13,은천로11길 19,37.4870949445794,126.941902184376
27,13,국회단지4길 3,37.4878887296129,126.940393769034
28,14,봉천로 357,37.4845035775745,126.939994755541
29,14,은천로 74-1,37.4863814128646,126.943836311363
30,15,남부순환로 143길 6,37.4816007571019,126.911126142047
31,15,조원로 70,37.4838413703,126.910165784376
32,16,봉천로49길3,37.4827689094113,126.95168809787
33,16,은천로 28가길 46,37.4848008768291,126.953137884376
34,17,남부순환로 1716,37.4827016095954,126.940632684376
35,17,장군봉길 72,37.4808226868026,126.938125311363
36,18,남부순환로 1766 ,37.4818994533254,126.946097626705
37,18,쑥고개로 85,37.4796270616,126.946021855541
38,19,남부순환로 1931 ,37.4774182671121,126.963843211363
39,19,솔밭로2길 22,37.4778318943002,126.963793869034
40,19,남부순환로245길9 ,37.4773345099096,126.96499529787
41,19,남부순환로247길 50,37.4781036793448,126.966327613212
