,도로명,구간,등주수량(본)
0,과천대로,사당역~남태령,75
1,시흥대로,구로공단역- 시흥IC,57
2,관악로,서울대정문~봉천고개,215
3,신림로,서울대정문~당곡사거리,223
4,보라매로,당곡사거리~삼육재활원,32
5,은천로,은천길삼거리~은천길입구삼거리,124
6,쑥고개로,관악구청~신림2교,71
7,문성로,신림1교~미성초교,100
8,신사로,도림교~시흥대로,80
9,난곡로,신대방역~호암길,271
10,남부순환로,사당역~시흥IC,494
11,양녕로,동작구 경계 ~ 구암초교 앞,83
12,호암로,산복터널~신림로,165
13,봉천로,인헌동~클린센터,260
14,봉천로,인헌동~원당초교,46
15,관천로,신림1교~도림교,90
16,원신길,동마아파트 ~ 원신길,12
17,낙성대로,남부순환로 ~ 서울대후문,61
18,조원중앙로,구로전화국~도림천,23
19,조원로,시흥대로 ~ 도림천,62
20,관악로40길,봉천3동~상도동,16
21,솔밭로,낙성대역 ~ 장미원아파트,14
22,낙성대로15길,서울대교수아파트~인헌아파트,24
23,광신길,신림10동,19
24,성현로,봉현초교~양녕로,106
25,구암길,드림타운남문~성현로,30
26,은천로25가길,드림타운정문~드림타운남문,29
27,은천로33길,성현로~드림타운정문,6
28,관악로30길,우성아파트입구~푸르지오아파트,63
29,승방길,별장아파트~과천대로,25
30,남현길,공원~선양부동산,9
31,청룡길,풍림아파트(양측),7
32,행운10길,행운동 관악산푸르지오아파트 앞,11
